Tournament,Match ID,Player ID,Player,Number,Nation,Pos,Age,Min,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Vs_Dribbles_Tkl,Vs_Dribbles_Att,Vs_Dribbles_Tkl%,Vs_Dribbles_Past,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Serie A,185d9e37,5bd72174,Francesco Caputo,10.0,it ITA,FW,35-007,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,60e3603d,Manuel De Luca,9.0,it ITA,FW,24-027,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,eccbe56a,Filip Đuričić,7.0,rs SRB,LM,30-195,57.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Serie A,185d9e37,33ecf462,Valerio Verre,5.0,it ITA,LM,28-214,33.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Serie A,185d9e37,f1cfc209,Tomás Rincón,8.0,ve VEN,CM,34-212,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Serie A,185d9e37,4830e0af,Abdelhamid Sabiri,11.0,ma MAR,CM,25-258,90.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0
Serie A,185d9e37,7d3cbc67,Mehdi Léris,37.0,dz ALG,RM,24-082,74.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
Serie A,185d9e37,ee4f2f3b,Fabio Quagliarella,27.0,it ITA,RM,39-194,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,75e60d75,Ronaldo Vieira,14.0,gw GNB,DM,24-025,90.0,,3.0,,,,,,,,,,,4.0,,,
Serie A,185d9e37,3cd3b384,Tommaso Augello,3.0,it ITA,LB,27-348,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
Serie A,185d9e37,8b95acda,Omar Colley,15.0,gm GAM,CB,29-293,90.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Serie A,185d9e37,d0dbca9f,Alex Ferrari,25.0,it ITA,CB,28-043,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0
Serie A,185d9e37,b233e8e4,Jeison Murillo,21.0,co COL,CB,30-078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,61b3978f,Bartosz Bereszyński,24.0,pl POL,RB,30-032,57.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Serie A,185d9e37,d97f2e8d,Fabio Depaoli,12.0,it ITA,RB,25-111,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,185d9e37,649b01d8,Emil Audero,1.0,it ITA,GK,25-207,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,d3de9af0,Duván Zapata,91.0,co COL,FW,31-134,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,185d9e37,eb2fe5b6,Luis Muriel,9.0,co COL,FW,31-119,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,7c104bb7,Ademola Lookman,11.0,ng NGA,FW,24-297,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,e599253a,Mario Pašalić,88.0,hr CRO,AM,27-185,82.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0
Serie A,185d9e37,48d5bd33,Ruslan Malinovskyi,18.0,ua UKR,AM,29-101,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,a26fb8aa,Teun Koopmeiners,7.0,nl NED,CM,24-166,90.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
Serie A,185d9e37,2a1beb34,Marten de Roon,15.0,nl NED,CM,31-137,90.0,5.0,3.0,4.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
Serie A,185d9e37,c459a650,Joakim Mæhle,3.0,dk DEN,WB,25-085,71.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0
Serie A,185d9e37,82598b71,Nadir Zortea,21.0,it ITA,WB,23-055,19.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
Serie A,185d9e37,3b333ac3,Hans Hateboer,33.0,nl NED,WB,28-216,90.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,3.0,2.0,4.0,2.0,0.0
Serie A,185d9e37,6eee05f1,Berat Djimsiti,19.0,al ALB,CB,29-175,90.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
Serie A,185d9e37,8ec109e6,Caleb Okoli,5.0,it ITA,CB,21-031,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,7.0,0.0
Serie A,185d9e37,c56dc39e,Rafael Tolói,2.0,it ITA,CB,31-307,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Serie A,185d9e37,1e9aa637,Giorgio Scalvini,42.0,it ITA,CB,18-245,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0
Serie A,185d9e37,a111cf41,Juan Musso,1.0,ar ARG,GK,28-099,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,536cebe5,Ante Rebić,12.0,hr CRO,FW,28-326,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Serie A,bb758ef8,16ceb862,Olivier Giroud,9.0,fr FRA,FW,35-317,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,20730eae,Rafael Leão,17.0,pt POR,LW,23-064,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,43a166b4,Divock Origi,27.0,be BEL,LW,27-117,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,bb758ef8,f49c4ae9,Junior Messias,30.0,br BRA,RW,31-092,70.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
Serie A,bb758ef8,ee251371,Alexis Saelemaekers,56.0,be BEL,RW,23-047,20.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Serie A,bb758ef8,407feb71,Brahim Díaz,10.0,es ESP,AM,23-010,70.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
Serie A,bb758ef8,2ef7c612,Charles De Ketelaere,90.0,be BEL,AM,21-156,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,817c6964,Rade Krunić,33.0,ba BIH,DM,28-310,83.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
Serie A,bb758ef8,55a1cac2,Tommaso Pobega,32.0,it ITA,DM,23-029,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,db092d3b,Ismaël Bennacer,4.0,dz ALG,DM,24-255,90.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
Serie A,bb758ef8,d4c9725f,Theo Hernández,19.0,fr FRA,LB,24-311,90.0,4.0,2.0,4.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0
Serie A,bb758ef8,7edfbb8a,Fikayo Tomori,23.0,eng ENG,CB,24-237,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
Serie A,bb758ef8,85f7d1be,Pierre Kalulu,20.0,fr FRA,CB,22-069,90.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0
Serie A,bb758ef8,2146785a,Davide Calabria,2.0,it ITA,RB,25-250,90.0,6.0,2.0,5.0,1.0,0.0,5.0,6.0,83.3,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
Serie A,bb758ef8,fcb38f57,Mike Maignan,16.0,fr FRA,GK,27-041,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,39583cfd,Gerard Deulofeu,10.0,es ESP,FW,28-153,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,bb758ef8,f573a8bf,Isaac Success,7.0,ng NGA,FW,26-218,65.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Serie A,bb758ef8,ed5c0319,Beto,9.0,gw GNB,FW,24-194,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,22bfb57e,Jean-Victor Makengo,6.0,fr FRA,CM,24-062,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Serie A,bb758ef8,217c93a1,Lazar Samardzic,24.0,de GER,CM,20-170,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,26db8853,Walace,11.0,br BRA,CM,27-131,75.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0
Serie A,bb758ef8,966eea58,Sandi Lovrić,4.0,si SVN,CM,24-138,15.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Serie A,bb758ef8,75f2c59f,Roberto Pereyra,37.0,ar ARG,CM,31-218,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Serie A,bb758ef8,de0f152c,Adam Masina,3.0,ma MAR,WB,28-223,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
Serie A,bb758ef8,dbfa4f16,Festy Ebosele,2.0,ie IRL,WB,20-011,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,bb758ef8,28f66c2e,Brandon Soppy,93.0,fr FRA,WB,20-173,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0
Serie A,bb758ef8,f7c491f1,Nehuén Pérez,18.0,ar ARG,CB,22-050,65.0,5.0,4.0,5.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,7.0,4.0,0.0
Serie A,bb758ef8,9ba7b4fa,Enzo Ebosse,23.0,cm CMR,CB,23-155,25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0
Serie A,bb758ef8,e33f36d5,Bram Nuytinck,17.0,nl NED,CB,32-101,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0
Serie A,bb758ef8,19e4eab9,Rodrigo Becão,50.0,br BRA,CB,26-206,90.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0
Serie A,bb758ef8,0d422df7,Marco Silvestri,1.0,it ITA,GK,31-164,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,5f0a8b10,03f946ed,Andrea Petagna,37.0,it ITA,FW,27-044,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
Serie A,5f0a8b10,b70bde8f,Stefano Sensi,12.0,it ITA,FW,27-008,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,54e53b7e,Gianluca Caprari,17.0,it ITA,FW,29-014,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,5de3866c,Patrick Ciurria,84.0,it ITA,CM,27-185,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,c414df9d,Mattia Valoti,10.0,it ITA,CM,28-341,75.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,0.0
Serie A,5f0a8b10,9250bcff,Christian Gytkjær,9.0,dk DEN,CM,32-099,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,32ebfe1e,Andrea Barberis,8.0,it ITA,CM,28-245,90.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0
Serie A,5f0a8b10,d9ebed1c,Filippo Ranocchia,22.0,it ITA,CM,21-091,63.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Serie A,5f0a8b10,efc9e31f,Dany Mota,47.0,pt POR,FW,24-103,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,060606ec,Marco D'Alessandro,77.0,it ITA,WB,31-177,90.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Serie A,5f0a8b10,204ac005,Samuele Birindelli,19.0,it ITA,WB,23-025,90.0,4.0,3.0,3.0,0.0,1.0,3.0,5.0,60.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,0.0
Serie A,5f0a8b10,8d3cd59d,Carlos,30.0,br BRA,CB,23-218,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,5f0a8b10,f7e2af2c,Andrea Carboni,44.0,it ITA,CB,21-190,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Serie A,5f0a8b10,aa54ec6f,Pablo Marí,3.0,es ESP,CB,28-347,90.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
Serie A,5f0a8b10,cdf65d12,Marlon,4.0,br BRA,CB,26-340,90.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
Serie A,5f0a8b10,4e0c8d66,Michele Di Gregorio,16.0,it ITA,GK,25-017,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,0a447501,Antonio Sanabria,9.0,py PAR,FW,26-162,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,5f0a8b10,0630eb63,Nemanja Radonjić,49.0,rs SRB,AM,26-179,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Serie A,5f0a8b10,a9aa0d1d,Aleksei Miranchuk,59.0,ru RUS,AM,26-300,45.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,5f0a8b10,aa8e289e,Nikola Vlašić,16.0,hr CRO,AM,24-313,45.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Serie A,5f0a8b10,9823be92,Samuele Ricci,28.0,it ITA,CM,20-357,89.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
Serie A,5f0a8b10,a47c6309,Emirhan İlkhan,14.0,tr TUR,CM,18-073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Serie A,5f0a8b10,d023d70f,Karol Linetty,77.0,pl POL,CM,27-192,90.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0
Serie A,5f0a8b10,246d153b,Ola Aina,34.0,ng NGA,WB,25-309,90.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0
Serie A,5f0a8b10,8b609c34,Wilfried Singo,17.0,ci CIV,WB,21-231,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,5f0a8b10,016ff750,Valentino Lazaro,19.0,at AUT,WB,26-142,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,7f78ad23,Ricardo Rodríguez,13.0,ch SUI,CB,29-353,90.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0
Serie A,5f0a8b10,933d3b51,Koffi Djidji,26.0,ci CIV,CB,29-256,90.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0
Serie A,5f0a8b10,599d91d0,Michel Ndary Adopo,21.0,fr FRA,CB,22-025,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,3cb132e6,Jacopo Segre,8.0,it ITA,CB,25-177,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,5f0a8b10,9fa26bc2,Vanja Milinković-Savić,32.0,rs SRB,GK,25-174,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Serie A,6b610c5c,07f8bcc8,Assan Ceesay,77.0,gm GAM,FW,28-149,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Serie A,6b610c5c,04df29a5,Lorenzo Colombo,9.0,it ITA,FW,20-158,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,6b610c5c,1fca9171,Federico Di Francesco,11.0,it ITA,LW,28-060,73.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Serie A,6b610c5c,8a6de8c7,Lameck Banda,22.0,zm ZAM,LW,21-196,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,6b610c5c,674cfc5a,Gabriel Strefezza,27.0,br BRA,RW,25-117,90.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Serie A,6b610c5c,f025eade,Joan Gonzàlez,16.0,es ESP,LM,20-193,73.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
Serie A,6b610c5c,dc765618,Þórir Jóhann Helgason,14.0,is ISL,LM,21-319,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Serie A,6b610c5c,d4456fb3,Morten Hjulmand,42.0,dk DEN,CM,23-049,90.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
Serie A,6b610c5c,79370f8c,Kristijan Bistrović,8.0,hr CRO,RM,24-126,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Serie A,6b610c5c,a3695ac2,Marcin Listkowski,19.0,pl POL,RM,24-184,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,6b610c5c,c74d63ac,Antonino Gallo,25.0,it ITA,LB,22-220,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0
Serie A,6b610c5c,5a08ee41,Federico Baschirotto,6.0,it ITA,CB,25-327,90.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,2.0,4.0,11.0,0.0
Serie A,6b610c5c,c730da00,Yıldırım Mert Çetin,4.0,tr TUR,CB,25-224,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
Serie A,6b610c5c,c69ef855,Alexis Blin,29.0,fr FRA,CB,25-331,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,3.0,3.0,8.0,0.0
Serie A,6b610c5c,822ed0ec,Valentin Gendrey,17.0,fr FRA,RB,22-053,90.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0
Serie A,6b610c5c,9f5a610b,Wladimiro Falcone,30.0,it ITA,GK,27-123,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
Serie A,6b610c5c,f7036e1c,Lautaro Martínez,10.0,ar ARG,"FW,AM,RM",24-356,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Serie A,6b610c5c,5eae500a,Romelu Lukaku,90.0,be BEL,FW,29-092,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Serie A,6b610c5c,cd0fa27b,Hakan Çalhanoğlu,20.0,tr TUR,CM,28-186,66.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
Serie A,6b610c5c,3bb7f478,Edin Džeko,9.0,ba BIH,FW,36-149,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,6b610c5c,33b8d077,Marcelo Brozović,77.0,hr CRO,CM,29-270,56.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
Serie A,6b610c5c,dd0daf32,Henrikh Mkhitaryan,22.0,am ARM,CM,33-204,34.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,6b610c5c,6928979a,Nicolò Barella,23.0,it ITA,CM,25-187,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,6b610c5c,2d970560,Robin Gosens,8.0,de GER,WB,28-039,56.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,6b610c5c,75b86fb3,Alessandro Bastoni,95.0,it ITA,CB,23-122,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serie A,6b610c5c,96e0490d,Matteo Darmian,36.0,it ITA,WB,32-254,66.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0
Serie A,6b610c5c,481c9ece,Denzel Dumfries,2.0,nl NED,"WB,RB",26-117,24.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Serie A,6b610c5c,970b8574,Federico Dimarco,32.0,it ITA,"CB,WB,LB",24-276,90.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Serie A,6b610c5c,d0d8dd44,Stefan de Vrij,6.0,nl NED,CB,30-189,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,4.0,5.0,1.0,0.0
Serie A,6b610c5c,30f5ffa9,Milan Škriniar,37.0,sk SVK,CB,27-183,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0
