Tournament,Player,Nation,Age,Min,Market_value,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
Ligue 1,Ghjuvanni Quilichini,fr FRA,20,82.0,200000,4.0,0.0,4.0,100.0,0.8,6.0,24.0,25.0,26.0,2.0,61.5,43.8,8.0,100.0,61.0,25.0,2.0,8.0,0.0,7.5
Ligue 1,François-Joseph Sollacaro,fr FRA,28,90.0,300000,3.0,3.0,0.0,0.0,2.1,0.0,2.0,0.0,10.0,3.0,20.0,28.6,3.0,0.0,23.0,10.0,0.0,0.0,0.0,14.7
Ligue 1,Benjamin Leroy,fr FRA,33,84.14285714285714,600000,4.0,1.5,2.5,62.24285714285715,1.2,5.428571428571429,14.142857142857142,37.15714285714286,17.928571428571427,2.4285714285714284,48.800000000000004,35.47142857142857,5.785714285714286,73.67142857142858,47.26428571428572,9.928571428571429,0.5,5.964285714285714,1.7857142857142858,17.04285714285714
Serie A,Petar Zovko,ba BIH,20,29.0,100000,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,8.0,3.0,37.5,35.9,2.0,50.0,35.0,4.0,0.0,0.0,2.0,28.5
Serie A,Federico Marchetti,it ITA,37,90.0,100000,5.0,3.0,2.142857142857143,37.58571428571428,2.2571428571428567,4.0,10.0,26.314285714285713,23.714285714285715,3.7142857142857144,29.514285714285712,30.44285714285714,8.571428571428571,47.85714285714287,38.728571428571435,12.428571428571429,0.14285714285714285,1.5857142857142856,1.7142857142857142,14.114285714285714
Serie A,Jeroen Zoet,nl NED,31,85.6875,500000,4.875,2.0,2.8125,60.39375,1.4874999999999998,4.375,13.0,34.449999999999996,31.75,5.6875,33.556250000000006,33.10625,5.75,41.05625,39.15625,11.6875,0.5625,4.612500000000001,1.125,12.93125
Serie A,Samir Ujkani,xk KVX,32,90.0,200000,4.5,2.0,2.5,66.7,1.3499999999999999,4.0,9.0,43.1,31.0,3.5,26.8,31.4,7.0,6.25,25.9,15.5,0.0,0.0,0.5,13.25
Serie A,Guglielmo Vicario,it ITA,25,90.0,12000000,5.333333333333333,1.6666666666666667,3.719298245614035,70.00000000000001,1.594736842105263,4.017543859649122,11.701754385964913,36.96491228070175,29.54385964912281,5.684210526315789,29.319298245614032,31.18421052631579,6.43859649122807,41.6280701754386,37.54736842105263,17.263157894736842,1.0175438596491229,6.389473684210526,0.8070175438596491,12.170175438596493
Serie A,Nicola Ravaglia,it ITA,33,5.0,100000,1.0,1.0,0.0,100.0,1.0,2.0,4.0,50.0,2.0,0.0,100.0,57.0,2.0,100.0,65.5,1.0,0.0,0.0,0.0,0.0
Serie A,Emil Audero,it ITA,25,89.67320261437908,6000000,4.483660130718954,1.5686274509803921,2.9411764705882355,64.33464052287582,1.3836601307189542,5.248366013071895,14.006535947712418,38.66928104575163,24.862745098039216,4.470588235294118,37.340522875816994,34.28823529411765,7.57516339869281,57.126797385620925,42.7718954248366,15.431372549019608,0.5620915032679739,3.7130718954248367,1.0130718954248366,13.612418300653594
