Tournament,Club,Player,Number,Date,Market_value,Nation,Pos,Position,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Laliga,Ca Osasuna,Nano,23.0,2018-05-30,50000,es ESP,FW,Forward,25,28.8,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.0,9.5,0.7,0.0,0.4,0.1,0.1,0.0,0.6,0.0,3.7,6.2,55.67999999999999,0.5,0.2,0.5
Laliga,Rcd Mallorca,Alejandro Alfaro,32.0,2019-09-10,300000,es ESP,CM,Midfielder,20,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0
Bundesliga,Bayer 04 Leverkusen,Paulinho,15.0,2022-11-09,7000000,br BRA,LM,Midfielder,29,57.20588235294117,0.2647058823529412,0.0588235294117647,0.0,0.0,1.3235294117647058,0.6470588235294118,0.0588235294117647,0.0,42.588235294117645,1.1470588235294117,0.4411764705882353,0.7352941176470589,0.2941176470588235,0.2941176470588235,0.0823529411764706,1.1176470588235294,0.2058823529411764,31.58823529411765,36.20588235294117,84.37058823529412,1.8529411764705883,0.7352941176470589,1.2647058823529411
Premier League,Fc Liverpool,Fabinho,3.0,2022-11-03,55000000,br BRA,CM,Midfielder,28,79.96319018404908,0.0920245398773006,0.0552147239263803,0.0368098159509202,0.0368098159509202,0.5153374233128835,0.1411042944785276,0.2147239263803681,0.0,67.1840490797546,2.245398773006135,1.2392638036809815,1.1104294478527608,0.0699386503067484,0.0411042944785276,0.0595092024539877,1.7852760736196318,0.2453987730061349,51.44171779141104,59.061349693251536,85.05889570552148,3.7607361963190185,0.4601226993865031,0.6625766871165644
Serie A,Chievo Verona,Mamadou Samassa,30.0,2020-02-11,100000,ml MLI,GK,Goal Keeper,27,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,35.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,17.285714285714285,31.61904761904762,55.647619047619045,0.0476190476190476,0.0,0.0
Serie A,Genua Cfc,Lisandro López,2.0,2022-10-31,1800000,ar ARG,CB,Defender,28,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,92.9,1.0,1.0,1.0
Premier League,Manchester City,Rodri,16.0,2022-11-03,80000000,es ESP,CM,Midfielder,26,81.73118279569893,0.086021505376344,0.064516129032258,0.0053763440860215,0.0053763440860215,0.9623655913978496,0.2741935483870967,0.1774193548387097,0.0,83.24731182795699,2.295698924731183,1.0591397849462365,0.9247311827956988,0.0612903225806451,0.0569892473118279,0.0478494623655913,2.193548387096774,0.2043010752688172,68.09139784946237,74.73118279569893,90.23870967741937,4.532258064516129,0.6559139784946236,0.8118279569892473
Premier League,Afc Bournemouth,Adam Smith,15.0,2022-11-03,1500000,eng ENG,WB,Defender,31,82.38461538461539,0.0219780219780219,0.0659340659340659,0.0,0.0,0.2967032967032967,0.0659340659340659,0.2417582417582417,0.0109890109890109,52.494505494505496,1.89010989010989,1.0879120879120878,1.2967032967032968,0.0252747252747252,0.0252747252747252,0.0373626373626373,1.5494505494505495,0.1318681318681318,33.65934065934066,42.16483516483517,78.32967032967032,2.274725274725274,0.8351648351648352,1.7142857142857142
Premier League,Manchester City,Fernandinho,25.0,2022-11-14,1000000,br BRA,DM,Midfielder,36,73.73684210526316,0.0601503759398496,0.075187969924812,0.0,0.0,0.9473684210526316,0.2556390977443609,0.2105263157894736,0.0150375939849624,76.80451127819549,1.6616541353383458,1.0827067669172932,0.849624060150376,0.0518796992481203,0.0518796992481203,0.0609022556390977,1.7894736842105263,0.2706766917293233,61.11278195488722,69.03007518796993,87.70451127819548,5.3007518796992485,0.5488721804511278,0.6616541353383458
Premier League,Manchester City,Ederson,31.0,2022-11-03,45000000,br BRA,GK,Goal Keeper,28,89.36224489795919,0.0,0.0153061224489795,0.0,0.0,0.0,0.0,0.0561224489795918,0.0051020408163265,32.54081632653061,0.0612244897959183,0.0204081632653061,0.0051020408163265,0.0,0.0,0.0035714285714285,0.1275510204081632,0.0255102040816326,26.87244897959184,30.948979591836736,87.83163265306122,0.0357142857142857,0.010204081632653,0.010204081632653
