Player,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog
Vasilije Janjicic,26.428571428571427,1.5714285714285714,6.285714285714286,17.571428571428573,2.857142857142857,0.1428571428571428,26.428571428571427,0.1428571428571428,0.1428571428571428,14.285714285714286,0.4285714285714285,0.1428571428571428,13.285714285714286,0.2857142857142857
Dominic Maroh,55.90909090909091,7.636363636363637,35.09090909090909,20.272727272727277,0.9090909090909092,0.5454545454545454,55.90909090909091,0.0,0.0909090909090909,0.0,0.0,0.1818181818181818,31.0,0.0
Marvin Compper,35.5,3.5,22.0,13.0,0.5,0.0,35.5,0.0,0.0,0.0,0.5,0.5,22.0,0.0
Dženis Burnić,49.66666666666666,0.8333333333333334,6.166666666666667,30.0,13.833333333333334,0.0,49.66666666666666,0.0,0.8333333333333334,0.0,0.1666666666666666,0.3333333333333333,39.333333333333336,1.8333333333333333
Bartosz Kapustka,15.714285714285714,0.0,1.8571428571428568,9.142857142857142,5.0,0.4285714285714285,15.714285714285714,0.2857142857142857,0.8571428571428571,21.428571428571427,1.4285714285714286,0.5714285714285714,10.714285714285714,1.8571428571428568
Ryan Kent,17.833333333333332,0.1666666666666666,1.6666666666666667,9.166666666666666,7.666666666666667,1.3333333333333333,17.833333333333332,0.6666666666666666,2.0,45.833333333333336,1.0,0.6666666666666666,12.833333333333334,2.5
Izet Hajrović,11.666666666666666,0.1111111111111111,1.1111111111111112,5.0,6.111111111111111,0.5555555555555556,11.666666666666666,0.6666666666666666,1.4444444444444444,15.922222222222224,0.2222222222222222,0.8888888888888888,8.333333333333334,1.7777777777777777
Douglas Santos,68.22222222222223,3.333333333333333,20.074074074074076,35.407407407407405,14.37037037037037,0.5555555555555556,68.22222222222223,1.5185185185185186,2.888888888888889,47.17777777777778,0.8888888888888888,0.7777777777777778,30.925925925925927,1.851851851851852
Sejad Salihović,29.1,0.4,3.1,15.7,11.1,0.9,29.0,0.5,1.8,17.330000000000002,0.8,0.9,18.1,1.8
Bakery Jatta,16.1,0.4,2.1,7.4,7.1,1.5,16.1,0.2,1.2,15.0,1.0,0.7,9.9,2.0
Valentin Stocker,9.0,0.0,0.6666666666666666,4.333333333333333,4.333333333333333,0.3333333333333333,9.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,6.333333333333333,1.3333333333333333
Philipp Ochs,11.0,0.0,1.0,3.6666666666666665,6.666666666666667,1.3333333333333333,11.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,7.0,2.0
Vincent Sierro,21.75,0.5,3.25,12.25,6.75,1.0,21.75,1.0,1.5,33.325,1.0,1.0,13.0,2.25
Julio Villalba,5.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Daniel Opare,45.0,2.764705882352941,15.235294117647058,19.647058823529413,11.176470588235292,0.2352941176470588,45.0,1.411764705882353,2.823529411764706,50.60588235294117,0.9411764705882352,0.2941176470588235,18.235294117647054,0.7058823529411765
Gōtoku Sakai,57.25,2.571428571428572,14.607142857142858,31.785714285714285,11.535714285714286,0.7857142857142857,57.25,0.75,1.6071428571428572,40.17857142857143,1.1071428571428572,1.1428571428571428,31.0,1.5714285714285714
Sebastian Maier,17.5,0.2,2.3,10.2,5.6,0.4,17.5,0.3,0.7,10.0,0.4,0.4,8.4,0.5
Onur Bulut,9.0,0.0,0.0,5.0,4.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,8.0,1.0
Florian Kath,12.166666666666666,0.0833333333333333,1.125,5.5,5.666666666666667,0.7916666666666666,12.166666666666666,0.5416666666666666,1.2083333333333333,23.60833333333333,0.2916666666666667,1.2083333333333333,9.708333333333334,2.125
Dominik Kaiser,18.7,0.5,2.6,9.0,7.3,0.2,18.7,0.0,0.1,0.0,0.1,0.2,12.1,2.0
André Ramalho,7.333333333333333,0.6666666666666666,4.666666666666667,2.6666666666666665,0.0,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0
Stefan Kießling,4.75,0.125,0.25,1.875,2.625,0.625,4.75,0.0,0.125,0.0,0.125,0.125,3.75,1.625
Marcel Heller,20.125,0.375,3.2916666666666665,6.833333333333333,10.666666666666666,1.9583333333333333,20.125,0.3333333333333333,0.7916666666666666,19.445833333333333,1.1666666666666667,1.2083333333333333,12.75,3.25
Mërgim Mavraj,54.70588235294117,5.882352941176471,29.058823529411764,24.88235294117647,1.5294117647058822,0.8235294117647058,54.70588235294117,0.2352941176470588,0.2352941176470588,17.647058823529413,0.2941176470588235,0.2941176470588235,25.11764705882353,0.0
Lewis Holtby,46.875,0.8125,7.375,23.9375,16.0,1.9375,46.875,0.6875,1.8125,31.76875,1.3125,1.5625,29.625,3.75
Konstantin Rausch,53.5,3.25,14.416666666666666,22.166666666666668,17.25,0.75,53.5,0.1666666666666666,1.0,6.25,1.0,0.4166666666666667,24.25,1.25
Matthias Lehmann,48.05,2.1,12.15,32.7,3.45,0.0,48.05,0.0,0.0,0.0,0.5,0.25,29.7,0.35
Miloš Jojić,35.68,0.56,5.72,17.08,13.68,0.88,35.68,0.52,1.64,15.532,1.28,0.92,21.12,2.56
Raúl Bobadilla,14.153846153846152,0.0769230769230769,0.4615384615384615,6.230769230769231,7.538461538461538,2.076923076923077,14.153846153846152,0.4615384615384615,1.3846153846153846,12.453846153846154,0.9230769230769232,1.1538461538461535,11.461538461538462,3.230769230769231
Julian Schuster,48.833333333333336,4.111111111111111,20.88888888888889,21.61111111111111,6.555555555555555,0.1666666666666666,48.833333333333336,0.0555555555555555,0.0555555555555555,5.555555555555555,0.1666666666666666,0.2777777777777778,26.0,0.3333333333333333
Dennis Diekmeier,48.81818181818182,2.5,12.136363636363637,22.363636363636363,15.181818181818182,1.2727272727272727,48.81818181818182,0.7727272727272727,1.681818181818182,27.045454545454547,0.6818181818181818,0.5,23.454545454545453,2.272727272727273
Kyriakos Papadopoulos,54.82758620689656,7.0344827586206895,26.82758620689655,25.86206896551724,2.4482758620689653,1.7241379310344829,54.82758620689656,0.0689655172413793,0.1379310344827586,5.172413793103448,0.5172413793103449,0.0344827586206896,24.17241379310345,0.2413793103448276
Rick van Drongelen,47.5,4.111111111111111,20.83333333333333,24.22222222222222,2.833333333333333,0.7222222222222222,47.5,0.2777777777777778,0.6666666666666666,15.738888888888887,0.8888888888888888,0.4444444444444444,24.0,0.2777777777777778
Aaron Hunt,48.206896551724135,0.6896551724137931,4.068965517241379,24.41379310344828,20.689655172413797,1.6551724137931034,48.172413793103445,0.6551724137931034,1.6896551724137931,28.679310344827588,1.206896551724138,0.896551724137931,29.79310344827586,4.206896551724138
Lamine Sané,45.18181818181818,5.545454545454546,23.09090909090909,21.181818181818183,1.3636363636363635,0.7272727272727273,45.18181818181818,0.1818181818181818,0.1818181818181818,9.090909090909092,0.4545454545454545,0.2727272727272727,23.545454545454547,0.0909090909090909
Eugen Polanski,18.22222222222222,1.0,4.333333333333333,11.22222222222222,2.6666666666666665,0.2222222222222222,18.22222222222222,0.3333333333333333,0.4444444444444444,27.77777777777778,0.3333333333333333,0.6666666666666666,12.666666666666666,0.3333333333333333
Riechedly Bazoer,22.76923076923077,0.7692307692307693,4.923076923076923,13.692307692307692,4.461538461538462,0.1538461538461538,22.76923076923077,0.2307692307692307,0.3846153846153846,12.823076923076922,0.4615384615384615,0.3846153846153846,16.23076923076923,1.0769230769230769
Kaylen Hinds,21.0,0.0,7.0,8.0,6.0,0.0,21.0,0.0,3.0,0.0,1.0,0.0,14.0,2.0
Charlison Benschop,10.428571428571429,0.1428571428571428,1.2857142857142858,5.428571428571429,4.0,0.8571428571428571,10.428571428571429,0.1428571428571428,0.4285714285714285,4.757142857142857,0.7142857142857143,1.0,7.0,1.4285714285714286
René Adler,34.142857142857146,26.071428571428573,33.785714285714285,0.2857142857142857,0.0714285714285714,0.0714285714285714,34.142857142857146,0.0,0.0,0.0,0.2857142857142857,0.0,12.5,0.0
Fabian Frei,46.45454545454545,1.6363636363636365,11.0,30.09090909090909,5.727272727272728,0.5454545454545454,46.45454545454545,0.1818181818181818,0.3636363636363636,18.181818181818183,0.7272727272727273,0.4545454545454545,28.63636363636364,0.7272727272727273
Viktor Fischer,15.3,0.1,1.5,7.6,6.4,1.3,15.3,0.4,1.7,13.330000000000002,1.1,0.4,11.6,2.7
Ailton,17.0,0.6,4.6,11.0,2.2,0.6,17.0,0.6,1.2,15.0,0.4,0.0,9.2,0.2
Aron Jóhannsson,10.76923076923077,0.2307692307692307,1.5384615384615383,5.384615384615385,4.0,1.1538461538461535,10.76923076923077,0.3846153846153846,1.0769230769230769,21.79230769230769,0.3846153846153846,0.3076923076923077,7.769230769230769,1.8461538461538465
Samuel Şahin-Radlinger,35.0,28.0,34.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
George Timotheou,60.0,5.0,34.0,23.0,3.0,2.0,60.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0
Sascha Riether,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sebastian Jung,33.0,1.6666666666666667,9.666666666666666,16.666666666666668,7.0,0.0,33.0,0.3333333333333333,0.6666666666666666,16.666666666666668,0.3333333333333333,0.0,22.666666666666668,0.3333333333333333
Edgar Prib,32.75,0.25,2.5,16.5,14.5,1.0,32.75,1.0,1.0,50.0,0.75,0.25,19.75,1.75
Christoph Daferner,6.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jonas Carls,38.0,0.0,13.0,9.0,16.0,1.0,38.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0
Sebastian Soto,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333
Ivo Iličević,6.0,0.0,0.6666666666666666,4.0,1.3333333333333333,0.0,6.0,0.3333333333333333,0.3333333333333333,33.333333333333336,0.6666666666666666,0.0,4.333333333333333,0.6666666666666666
Uffe Bech,8.5,0.0,0.5,3.5,4.5,1.0,8.5,1.0,1.5,50.0,0.0,0.5,5.5,1.0
Christoph Janker,6.111111111111111,0.8888888888888888,3.0,2.4444444444444446,0.6666666666666666,0.0,6.111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,3.6666666666666665,0.1111111111111111
Florian Baak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,5.0,1.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Lukas Jäger,5.0,0.0,3.5,1.0,0.5,0.0,5.0,0.0,0.0,0.0,0.5,0.0,2.5,0.0
Jaroslav Drobný,21.0,16.5,20.5,0.5,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
David Otto,5.333333333333333,0.0,0.3333333333333333,3.0,2.333333333333333,0.0,5.333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,4.666666666666667,1.0
Jozo Stanić,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Tim Dierßen,4.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Jan-Ingwer Callsen-Bracker,7.0,0.0,2.0,4.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Jonathas,21.454545454545453,0.6818181818181818,1.9545454545454544,11.409090909090908,8.272727272727273,2.0,21.363636363636363,0.4090909090909091,1.0909090909090908,26.51363636363636,1.9090909090909087,1.818181818181818,15.090909090909092,3.227272727272727
Meritan Shabani,13.5,0.0,3.5,5.5,4.5,0.0,13.5,1.0,2.0,66.65,1.0,0.5,9.5,1.0
Benjamin Hadžić,2.0,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,2.0,0.3333333333333333,0.3333333333333333,33.333333333333336,0.0,0.6666666666666666,2.0,0.6666666666666666
Ewerton,44.55555555555556,7.833333333333333,28.38888888888889,15.5,0.9444444444444444,0.6666666666666666,44.55555555555556,0.5555555555555556,0.6111111111111112,33.333333333333336,0.1666666666666666,0.1666666666666666,23.166666666666668,0.0
