Tournament,Player,Nation,Age,Min,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
Bundesliga,Tom Starke,de GER,36,90.0,2.0,0.0,2.0,100.0,0.35,2.0,9.0,34.4,24.0,4.5,26.35,31.6,4.5,41.65,37.3,9.0,0.5,3.55,0.5,16.5
Bundesliga,Roman Weidenfeller,de GER,37,45.5,3.5,2.0,1.5,21.45,0.75,1.5,12.5,6.0,16.5,0.0,27.25,19.05,4.0,43.75,28.2,7.5,0.5,3.35,0.5,6.4
Bundesliga,René Adler,de GER,32,90.0,3.7857142857142856,1.2857142857142858,2.5,57.771428571428565,0.9928571428571428,5.571428571428571,15.428571428571429,38.66428571428571,23.0,3.9285714285714284,42.58571428571429,37.75,8.357142857142858,80.79285714285713,56.11428571428571,14.928571428571429,1.3571428571428572,8.157142857142857,1.5714285714285714,15.30714285714286
Bundesliga,Samuel Şahin-Radlinger,at AUT,26,90.0,6.0,2.0,4.0,66.7,1.3,9.0,15.0,60.0,18.0,3.0,44.4,38.3,8.0,87.5,58.0,8.0,1.0,12.5,4.0,20.7
Bundesliga,Jaroslav Drobný,cz CZE,39,90.0,4.5,1.5,3.0,60.7,1.3,5.0,9.5,42.15,13.5,2.5,47.35,38.3,5.0,50.0,38.9,8.0,1.5,19.1,1.5,17.2
Bundesliga,Christian Mathenia,de GER,26,88.97826086956522,4.630434782608695,1.6956521739130435,3.0,65.09130434782608,1.482608695652174,6.630434782608695,19.17391304347826,32.771739130434774,25.456521739130434,3.717391304347826,51.31086956521739,40.35217391304348,9.065217391304348,69.25000000000001,52.728260869565226,17.26086956521739,0.6304347826086957,4.665217391304347,0.6086956521739131,11.208695652173914
Bundesliga,Luca Plogmann,de GER,18,38.0,1.0,1.0,0.0,100.0,1.0,2.0,2.0,100.0,3.0,2.0,0.0,14.3,3.0,66.7,45.7,8.0,0.0,0.0,0.0,0.0
Bundesliga,Ramazan Özcan,at AUT,34,90.0,6.666666666666667,3.0,3.3333333333333335,58.56666666666666,2.9666666666666663,5.0,16.0,31.23333333333333,29.0,4.333333333333333,45.900000000000006,37.333333333333336,6.666666666666667,42.86666666666667,40.86666666666667,12.333333333333334,0.3333333333333333,3.033333333333333,1.0,13.1
Bundesliga,Fabian Giefer,de GER,28,90.0,4.75,1.75,3.0,50.949999999999996,1.35,7.0,15.25,45.974999999999994,22.0,4.0,49.675,39.575,7.25,68.125,50.3,13.5,0.75,4.525,0.25,10.8
Bundesliga,Michael Rensing,de GER,34,90.0,5.3125,1.9375,3.375,71.525,1.6875,6.96875,17.59375,39.690625,21.5,4.59375,43.140625,36.83437500000001,9.9375,83.071875,54.771875,16.78125,0.84375,5.896875,0.09375,8.8125
Bundesliga,Moritz Nicolas,de GER,22,90.0,8.0,4.0,4.0,50.0,3.0,9.0,18.0,50.0,28.0,1.0,50.0,42.3,7.0,57.1,47.4,11.0,0.0,0.0,1.0,16.0
Bundesliga,Florian Kastenmeier,de GER,22,90.0,4.588235294117647,1.8235294117647058,2.8823529411764706,61.9,1.4823529411764707,6.764705882352941,16.88235294117647,40.83529411764705,29.941176470588236,3.3529411764705883,44.62352941176471,37.976470588235294,6.588235294117647,54.36470588235294,44.61764705882353,12.176470588235293,0.35294117647058826,2.376470588235294,1.1764705882352942,15.15294117647059
Bundesliga,Markus Schubert,de GER,21,82.44444444444444,6.111111111111111,2.0,4.111111111111111,64.75555555555555,2.055555555555556,4.888888888888889,17.22222222222222,25.32222222222222,28.0,3.2222222222222223,52.73333333333333,40.777777777777786,6.666666666666667,64.07777777777778,46.2,16.555555555555557,0.6666666666666666,3.411111111111111,0.8888888888888888,13.488888888888889
Bundesliga,Thomas Kraft,de GER,31,85.9090909090909,4.454545454545454,1.8181818181818181,2.6363636363636362,67.8,1.4727272727272727,9.454545454545455,22.0,42.83636363636363,26.90909090909091,2.3636363636363638,58.66363636363636,39.73636363636364,8.272727272727273,64.89999999999999,48.718181818181826,14.0,0.36363636363636365,4.318181818181818,1.0,15.372727272727275
Bundesliga,Dennis Smarsch,de GER,20,75.5,5.5,2.0,3.5,54.15,1.2,5.0,13.0,30.85,26.5,4.0,31.9,33.1,8.0,62.5,45.099999999999994,7.5,0.5,8.35,1.5,12.9
Bundesliga,Felix Wiedwald,de GER,29,90.0,6.666666666666667,2.6666666666666665,4.0,60.76666666666667,1.8333333333333333,7.333333333333333,13.333333333333334,52.6,25.666666666666668,5.0,37.46666666666667,34.233333333333334,8.0,55.400000000000006,39.9,13.666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,16.733333333333334
Bundesliga,Niclas Thiede,de GER,20,68.0,4.0,1.0,3.0,75.0,1.5,1.0,9.0,11.1,34.0,11.0,26.5,29.2,7.0,0.0,21.1,13.0,0.0,0.0,1.0,18.0
Bundesliga,Leopold Zingerle,de GER,25,90.0,5.428571428571429,2.0357142857142856,3.4285714285714284,65.97857142857143,1.739285714285714,4.714285714285714,10.25,44.878571428571426,34.92857142857143,6.714285714285714,23.675,29.446428571428573,8.321428571428571,24.13214285714286,28.949999999999996,16.214285714285715,0.32142857142857145,1.957142857142857,0.7857142857142857,12.414285714285713
Bundesliga,Jannik Huth,de GER,25,90.0,5.5,2.8333333333333335,2.6666666666666665,50.75,2.05,4.666666666666667,12.0,37.05,33.833333333333336,6.166666666666667,31.266666666666666,32.0,8.0,20.916666666666668,28.650000000000002,11.666666666666666,0.16666666666666666,0.7999999999999999,0.8333333333333334,12.483333333333334
Bundesliga,Elias Bördner,de GER,19,90.0,6.0,1.0,5.0,83.3,0.8,4.0,17.0,23.5,33.0,9.0,45.5,35.3,10.0,20.0,25.4,14.0,1.0,7.1,2.0,10.3
Bundesliga,Niklas Lomb,de GER,27,67.5,4.0,1.5,2.5,63.35,1.65,2.5,6.0,47.15,26.5,7.0,17.5,28.55,3.5,60.0,45.25,8.5,0.0,0.0,1.0,15.5
Bundesliga,Rune Jarstein,no NOR,36,88.9090909090909,4.636363636363637,1.5252525252525253,3.1515151515151514,67.51414141414142,1.3232323232323233,9.414141414141413,22.424242424242426,43.655555555555544,27.78787878787879,3.4545454545454546,55.61919191919193,41.11616161616162,8.333333333333334,80.87070707070708,54.38383838383838,15.767676767676768,1.0404040404040404,6.699999999999999,0.6767676767676768,11.26060606060606
Bundesliga,Michael Langer,at AUT,35,79.66666666666667,8.0,4.0,4.333333333333333,45.56666666666666,2.1999999999999997,3.6666666666666665,11.0,30.400000000000002,17.0,2.6666666666666665,36.333333333333336,35.9,8.666666666666666,63.6,44.333333333333336,14.0,0.0,0.0,1.6666666666666667,8.666666666666666
Bundesliga,Ron-Robert Zieler,de GER,31,89.43478260869566,4.884057971014493,1.5507246376811594,3.36231884057971,68.57971014492753,1.4231884057971016,8.130434782608695,22.594202898550726,36.49710144927537,28.36231884057971,3.710144927536232,56.98550724637681,41.7536231884058,8.855072463768115,72.89420289855072,54.77826086956521,15.652173913043478,0.8260869565217391,5.627536231884058,1.1304347826086956,13.866666666666667
Bundesliga,Roman Bürki,ch SUI,31,89.43103448275862,3.9741379310344827,1.3275862068965518,2.6724137931034484,62.606896551724134,1.2750000000000001,3.8706896551724137,11.672413793103448,35.14827586206897,28.344827586206897,5.594827586206897,29.01724137931035,31.370689655172413,6.663793103448276,47.23017241379309,41.52241379310345,11.46551724137931,0.6293103448275862,4.875862068965517,1.1810344827586208,16.25431034482759
Bundesliga,Christian Früchtl,de GER,22,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,4.0,0.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Bundesliga,Philipp Tschauner,de GER,36,87.36363636363636,4.96969696969697,1.4545454545454546,3.515151515151515,68.5848484848485,1.3696969696969699,7.0606060606060606,16.03030303030303,45.972727272727276,27.303030303030305,4.96969696969697,44.10606060606061,35.60000000000001,8.545454545454545,49.2030303030303,38.96666666666667,15.696969696969697,0.7575757575757576,5.748484848484848,0.6060606060606061,10.954545454545455
Bundesliga,Finn Dahmen,de GER,24,90.0,5.0,2.6,2.4,59.720000000000006,2.1399999999999997,1.4,6.6,20.699999999999996,23.6,5.0,22.48,27.82,9.4,14.16,25.939999999999998,15.2,1.0,6.9799999999999995,1.2,13.819999999999999
Bundesliga,Jens Grahl,de GER,33,90.0,4.0,2.0,2.0,50.0,0.7,1.0,4.0,25.0,18.0,5.0,0.0,21.9,11.0,36.4,36.8,10.0,1.0,10.0,0.0,10.8
Bundesliga,Marcel Lotka,pl POL,20,88.5,4.9,2.0,2.9,61.67,1.3800000000000001,6.3,18.8,37.6,26.2,4.7,52.1,39.35,7.3,64.51,49.73,14.4,1.3,10.87,1.0,10.73
